Electorate,State,Party,
Adelaide,SA,ALP,
Aston,VIC,LIB,
Ballarat,VIC,ALP,
Banks,NSW,LIB,
Barker,SA,LIB,
Barton,NSW,ALP,
Bass,TAS,LIB,
Bean,ACT,ALP,
Bendigo,VIC,ALP,
Bennelong,NSW,LIB,
Berowra,NSW,LIB,
Blair,QLD,ALP,
Blaxland,NSW,ALP,
Bonner,QLD,LNP,
Boothby,SA,LIB,
Bowman,QLD,LNP,
Braddon,TAS,LIB,
Bradfield,NSW,LIB,
Brand,WA,ALP,
Brisbane,QLD,LNP,
Bruce,VIC,ALP,
Burt,WA,ALP,
Calare,NSW,NAT,
Calwell,VIC,ALP,
Canberra,ACT,ALP,
Canning,WA,LIB,
Capricornia,QLD,LNP,
Casey,VIC,LIB,
Chifley,NSW,ALP,
Chisholm,VIC,LIB,
Clark,TAS,IND,
Cook,NSW,LIB,
Cooper,VIC,ALP,
Corangamite,VIC,ALP,
Corio,VIC,ALP,
Cowan,WA,ALP,
Cowper,NSW,NAT,
Cunningham,NSW,ALP,
Curtin,WA,LIB,
Dawson,QLD,LNP,
Deakin,VIC,LIB,
Dickson,QLD,LNP,
Dobell,NSW,ALP,
Dunkley,VIC,ALP,
Durack,WA,LIB,
Eden-Monaro,NSW,ALP,
Fadden,QLD,LNP,
Fairfax,QLD,LNP,
Farrer,NSW,LIB,
Fenner,ACT,ALP,
Fisher,QLD,LNP,
Flinders,VIC,LIB,
Flynn,QLD,LNP,
Forde,QLD,LNP,
Forrest,WA,LIB,
Fowler,NSW,ALP,
Franklin,TAS,ALP,
Fraser,VIC,ALP,
Fremantle,WA,ALP,
Gellibrand,VIC,ALP,
Gilmore,NSW,ALP,
Gippsland,VIC,NAT,
Goldstein,VIC,LIB,
Gorton,VIC,ALP,
Grayndler,NSW,ALP,
Greenway,NSW,ALP,
Grey,SA,LIB,
Griffith,QLD,ALP,
Groom,QLD,LNP,
Hasluck,WA,LIB,
Hawke,VIC,ALP,
Herbert,QLD,LNP,
Higgins,VIC,LIB,
Hindmarsh,SA,ALP,
Hinkler,QLD,LNP,
Holt,VIC,ALP,
Hotham,VIC,ALP,
Hughes,NSW,LIB,
Hume,NSW,LIB,
Hunter,NSW,ALP,
Indi,VIC,IND,
Isaacs,VIC,ALP,
Jagajaga,VIC,ALP,
Kennedy,QLD,KAP,
Kingsford Smith,NSW,ALP,
Kingston,SA,ALP,
Kooyong,VIC,LIB,
La Trobe,VIC,LIB,
Lalor,VIC,ALP,
Leichhardt,QLD,LNP,
Lilley,QLD,ALP,
Lindsay,NSW,LIB,
Lingiari,NT,ALP,
Longman,QLD,LNP,
Lyne,NSW,NAT,
Lyons,TAS,ALP,
Macarthur,NSW,ALP,
Mackellar,NSW,LIB,
Macnamara,VIC,ALP,
Macquarie,NSW,ALP,
Makin,SA,ALP,
Mallee,VIC,NAT,
Maranoa,QLD,LNP,
Maribyrnong,VIC,ALP,
Mayo,SA,CA,
McEwen,VIC,ALP,
McMahon,NSW,ALP,
McPherson,QLD,LNP,
Melbourne,VIC,GRN,
Menzies,VIC,LIB,
Mitchell,NSW,LIB,
Monash,VIC,LIB,
Moncrieff,QLD,LNP,
Moore,WA,LIB,
Moreton,QLD,ALP,
New England,NSW,NAT,
Newcastle,NSW,ALP,
Nicholls,VIC,NAT,
North Sydney,NSW,LIB,
O'Connor,WA,LIB,
Oxley,QLD,ALP,
Page,NSW,NAT,
Parkes,NSW,NAT,
Parramatta,NSW,ALP,
Paterson,NSW,ALP,
Pearce,WA,LIB,
Perth,WA,ALP,
Petrie,QLD,LNP,
Rankin,QLD,ALP,
Reid,NSW,LIB,
Richmond,NSW,ALP,
Riverina,NSW,NAT,
Robertson,NSW,LIB,
Ryan,QLD,LNP,
Scullin,VIC,ALP,
Shortland,NSW,ALP,
Solomon,NT,ALP,
Spence,SA,ALP,
Sturt,SA,LIB,
Swan,WA,LIB,
Sydney,NSW,ALP,
Tangney,WA,LIB,
Wannon,VIC,LIB,
Warringah,NSW,IND,
Watson,NSW,ALP,
Wentworth,NSW,LIB,
Werriwa,NSW,ALP,
Whitlam,NSW,ALP,
Wide Bay,QLD,LNP,
Wills,VIC,ALP,
Wright,QLD,LNP,
